title,link,user_name,date,description,category
Lý do các công ty công nghệ thường chọn logo màu xanh lam,https://quantrimang.com/khoa-hoc/ly-do-cac-cong-ty-cong-nghe-thuong-chon-logo-mau-xanh-lam-198399,Pham Xuyen,27/07,"Bạn có nhận thấy rằng logo của hầu hết các hãng công nghệ thường có màu xanh lam như Facebook, LinkedIn, Skype và Telegram…? Theo chuyên gia, điều này đều liên quan đến tâm lý học tác động đến tâm lý của người dùng.",Khám phá khoa học
"Mỏ vàng sâu nhất thế giới nằm ở độ sâu 4km, đi thang máy 90 phút mới tới nơi",https://quantrimang.com/khoa-hoc/mo-vang-sau-nhat-the-gioi-198390,Pham Xuyen,6 ngày,"Mỏ vàng Mponeng, tại tỉnh Gauteng, Nam Phi là mỏ vàng sâu nhất thế giới hiện nay khi nằm ở độ sâu 4km bên dưới bề mặt Trái Đất.",Khám phá khoa học
Tại sao nền móng của tháp cao nhất thế giới Burj Khalifa phải được truyền điện 24/7,https://quantrimang.com/khoa-hoc/tai-sao-nen-mong-cua-thap-cao-nhat-the-gioi-burj-khalifa-phai-duoc-truyen-dien-24-7-198380,Pham Xuyen,26/07,Phần móng đặc biệt với thời gian xây dựng lên tới 2 năm giúp tháp Burj Khalifa cao hơn 800m ở Dubai chịu được sức gió 240 km/h.,Khám phá khoa học
10 đỉnh núi cao nhất Việt Nam,https://quantrimang.com/khoa-hoc/10-dinh-nui-cao-nhat-viet-nam-198363,Pham Xuyen,25/07,Danh sách 10 ngọn núi cao nhất Việt Nam với vẻ đẹp hùng vĩ mà thiên nhiên ban tặng.,Khám phá khoa học
Có tới hai ngọn núi khác vượt mặt Everest trở thành ngọn núi cao nhất thế giới,https://quantrimang.com/khoa-hoc/dinh-everest-khong-phai-ngon-nui-cao-nhat-the-gioi-198359,Pham Trang,29/07,Nếu xét nhiều góc độ khác nhau thì có tới hai ngọn núi vượt mặt Everest về chiều cao là đỉnh núi Chimborazo thuộc dải Andes và Mauna Kea ở quần đảo Hawaii trong khu vực Thái Bình Dương.,Khám phá khoa học
Mô phỏng vụ nổ tàu lặn Titan diễn ra chỉ trong vòng chưa đầy 14 mili giây,https://quantrimang.com/khoa-hoc/mo-phong-vu-no-tau-lan-titan-dien-ra-chi-trong-vong-chua-day-14-mili-giay-198318,Pham Trang,22/07,"Theo giả thuyết, dưới áp suất đại dương tàu lặn Titan nổ tung chỉ trong chớp mắt trong vòng chưa đầy 5 mili giây (1 mili giây bằng 1/1000 giây) và các mảnh vỡ chỉ cần chưa đầy 14 mili giây (14 phần nghìn giây) để phân tán khắp đại dương.",Khám phá khoa học
"Tòa nhà văn phòng lớn nhất thế giới, 660.000m2 diện tích mặt sàn",https://quantrimang.com/khoa-hoc/toa-nha-van-phong-lon-nhat-the-gioi-198311,Pham Xuyen,26/07,"Tòa nhà Surat Diamond Bourse ở Surat ở bang Gujarat, Ấn Độ, với 660.000 m2 diện tích mặt sàn đã vượt Lầu Năm Góc ở Mỹ để trở thành tòa nhà văn phòng lớn nhất thế giới.",Khám phá khoa học
"Kỳ lạ ngôi làng 100 năm không có muỗi, đến nay vẫn chưa có lời giải thích",https://quantrimang.com/khoa-hoc/ky-la-ngoi-lang-100-nam-khong-co-muoi-196990,Trần Nhung,15/05,"Làng Đinh Ốc Lĩnh (Ding Wuling), là một trong những ngôi làng bí ẩn nhất tại Trung Quốc bởi chưa từng xuất hiện muỗi ở đây trong khoảng 100 năm qua.",Bí ẩn - Chuyện lạ
5 cuốn sách kỳ lạ nhất lịch sử nhân loại,https://quantrimang.com/khoa-hoc/cuon-sach-ky-la-nhat-lich-su-nhan-loai-193634,PP,03/11,"Dưới đây là những cuốn sách kỳ quái từng xuất hiện trong lịch sử được viết bằng loại ngôn ngữ không ai đọc được, hoặc những kí tự khó hiểu… mà cho tới này vẫn chiến các nhà nghiên cứu bối rối.",Bí ẩn - Chuyện lạ
"5 vụ mất tích bí ẩn nhất thế giới, vĩnh viễn không có lời giải",https://quantrimang.com/khoa-hoc/5-vu-mat-tich-bi-an-nhat-the-gioi-193349,PP,19/10,"Dưới đây là 5 vụ mất tích bí ẩn, kỳ lạ trên thế giới, vĩnh viễn không có câu trả lời và mãi mãi là một ẩn số.",Bí ẩn - Chuyện lạ
'Đổ mồ hôi Anh' - Căn bệnh lạ gây ra cái chết bí ẩn cho hàng nghìn người và chưa từng có lời giải,https://quantrimang.com/khoa-hoc/do-mo-hoi-anh-can-benh-la-gay-ra-cai-chet-bi-an-cho-hang-nghin-nguoi-192829,PP,23/09,Một căn bệnh lạ đã bùng phát tại Anh vào cuối thế kỷ 15 gây ra cái chết bí ẩn cho hàng nghìn người. Căn bệnh lạ này có tên gọi là đổ mồ hôi Anh và cho tới nay vẫn là câu hỏi lớn của y học.,Bí ẩn - Chuyện lạ
Bức ảnh rõ nhất về UFO được công bố sau hơn 30 năm bị cất giấu,https://quantrimang.com/khoa-hoc/buc-anh-ro-nhat-ve-ufo-192231,Trần Nhung,27/08,"Sau 32 năm, ""Bức ảnh Calvine"" (Calvine Photograph) chụp vật thể lạ hình kim cương trên trời tại Scotland vào khoảng 21h ngày 4/8/1990 lần đầu tiên được công khai.",Bí ẩn - Chuyện lạ
Loạt ‘số điện thoại ma’ bạn không nên thử gọi,https://quantrimang.com/khoa-hoc/so-dien-thoai-ma-ban-khong-nen-thu-goi-190472,PP,07/06,Dưới đây những số điện thoại ma được cảnh báo chúng ta không nên thử gọi để tránh liên lạc với nhầm người hoặc một thứ gì đó đáng nhẽ phải để yên.,Bí ẩn - Chuyện lạ
"Bí ẩn thị trấn năm nào cũng hứng chịu ‘mưa cá’, các nhà khoa học cũng ‘bó tay’",https://quantrimang.com/khoa-hoc/mua-ca-189696,PP,10/05,"Mưa cá là một trong những hiện tượng thiên nhiên kỳ quái xảy ra ở một số nơi trên Trái đất. Tuy nhiên, chỉ có duy nhất thị trấn Yoro của Honduras là nơi có có trận mưa cá kỳ lạ xảy ra hàng năm, đôi khi diễn ra tới vài lần.",Bí ẩn - Chuyện lạ
Bí ẩn khúc gỗ dài 9m nổi thẳng đứng 120 năm trên hồ,https://quantrimang.com/khoa-hoc/bi-an-khuc-go-dai-9m-noi-thang-dung-120-nam-tren-ho-185652,PP,01/11,"Một thân cây đã nổi trên giữa lòng hồ Crater, bang Oregon hàng trăm năm nhưng không bị mục nát và luôn theo phương thẳng đứng, thay vì nằm ngang như thông thường khiến nhiều người không thể kinh ngạc.",Bí ẩn - Chuyện lạ
Cá voi lưng gù bất ngờ được phát hiện ở trên một con sông đầy cá sấu,https://quantrimang.com/khoa-hoc/ca-voi-lung-gu-tren-song-176820,Phạm Hải,15/11,"Trong những tháng gần đây, các nhà khoa học đã liên tục phát hiện ra những trường hợp cá voi lưng gù “tung tăng bơi lội” tại khu vực sông East Alligator đoạn chảy qua Vườn quốc gia Kakadu phía bắc Australia.",Bí ẩn - Chuyện lạ
Hải quân Hoa Kỳ chính thức công bố 3 video liên quan đến UFO,https://quantrimang.com/video/video-lien-quan-den-ufo-171471,PP,01/05,"Mới đây, Hải quân Hoa Kỳ đã chính thức đăng tải 3 đoạn video liên quan đến các vật thể bay không xác định (UFO) được quay bằng camera hồng ngoại.",Bí ẩn - Chuyện lạ
NASA chụp được tấm hình tảng băng lớn vuông chành chạnh,https://quantrimang.com/khoa-hoc/nasa-chup-duoc-tam-hinh-tang-bang-lon-vuong-chanh-chanh-159375,Ahihi,25/10,Nhưng không phải do người ngoài hành tinh làm nên đâu.,Bí ẩn - Chuyện lạ
Tàu đường sắt cao nhất thế giới leo lên sườn núi,https://quantrimang.com/khoa-hoc/Tau-duong-sat-cao-nhat-the-gioi-leo-len-suon-nui-145508,Trương Huỳnh Dũng,21/01,"Kết nối làng núi Stoos với thung lũng, đây là tuyến đường sắt dốc nhất cùng các chuyến tàu độc đáo đi trên đó cùng các cơ chế tự nghiêng để giữ hành khách thăng bằng khi tàu leo lên cao.",Bí ẩn - Chuyện lạ
Nhện phát ra cầu vồng từ bụng gây sốt,https://quantrimang.com/khoa-hoc/nhen-phat-ra-cau-vong-tu-bung-gay-sot-145491,Trương Huỳnh Dũng,19/01,Nhện cầu vồng (Maratus robinsoni) trở thành một loài nhện đặc biệt ở Úc có khả năng làm ra điều kỳ diệu tưởng chừng chỉ có sản phẩm công nghệ mới làm được.,Bí ẩn - Chuyện lạ
Leo núi Everest có thể dẫn đến bệnh tâm thần,https://quantrimang.com/khoa-hoc/Leo-nui-Everest-co-the-dan-den-benh-tam-than-145315,Trương Huỳnh Dũng,17/01,"Leo núi cao nhất trên thế giới như Everest thực sự có thể gây ra chứng rối loạn tâm thần, theo một nghiên cứu.",Bí ẩn - Chuyện lạ
Thái Bình Dương và 5 bí ẩn chưa có lời giải thách thức các nhà khoa học,https://quantrimang.com/khoa-hoc/thai-binh-duong-va-5-bi-an-chua-co-loi-giai-thach-thuc-cac-nha-khoa-hoc-143777,Thiên Lam,15/12,"Thái Bình Dương là đại dương lớn nhất trên Trái Đất với diện tích 161.800.000km2. Vùng biển rộng lớn và yên tĩnh này ẩn chứa rất nhiều bí ẩn khiến các nhà khoa học điên đầu giải mã nhưng cho tới nay vẫn không có lời giải như những nền văn minh đột ngột biến mất, những vụ mất tích máy bay bí ẩn, những quái thú khổng lồ...",Bí ẩn - Chuyện lạ
Bí ẩn hệ thống bẫy tinh vi và đầy nguy hiểm trong lăng mộ hơn 2000 năm của Tần Thủy Hoàng,https://quantrimang.com/khoa-hoc/bi-an-he-thong-bay-tinh-vi-va-day-nguy-hiem-trong-lang-mo-hon-2000-nam-cua-tan-thuy-hoang-143691,PP,13/12,"Lăng mộ của hoàng đế Tần Thủy Hoàng, một trong những bí ẩn khảo cổ mà cho tới nay vẫn đánh đố các nhà nghiên cứu. Nhiều người tin rằng, trong hầm mộ bí ẩn này có chứa hàng loạt cái bẫy chết người, để trừng trị bất cứ kẻ nào dám xâm phạm ""giấc ngủ"" của bậc đế vương.",Bí ẩn - Chuyện lạ
Những nhân vật bí ẩn nổi tiếng trong lịch sử chưa được xác định rõ danh tính cho tới ngày nay,https://quantrimang.com/khoa-hoc/nhung-nhan-vat-bi-an-noi-tieng-trong-lich-su-chua-duoc-xac-dinh-ro-danh-tinh-cho-toi-ngay-nay-143368,Bùi Thủy,02/12,"Trong lịch sử phát triển của nhân loại, rất nhiều nhân vật bí ẩn xuất hiện trong những sự kiện đặc biệt và trở nên nổi tiếng. Nhưng một số người trong số đó không thể xác định danh tính và trở thành bí ẩn lớn của nhân loại.",Bí ẩn - Chuyện lạ
"Phát hiện ""ăng-ten của người ngoài hành tinh"" trên Mặt Trăng?",https://quantrimang.com/khoa-hoc/phat-hien-ang-ten-cua-nguoi-ngoai-hanh-tinh-tren-mat-trang-143347,Nga Bùi,01/12,"Vật thể bí ẩn trên Mặt Trăng là gì? Thợ săn UFO khẳng định đã tìm thấy ""ăng-ten của người ngoài hành tinh"" trên Mặt Trăng. Mời các bạn cùng tìm hiểu!",Bí ẩn - Chuyện lạ
Black Knight: Phát hiện UFO trong các bức ảnh mới nhất của NASA,https://quantrimang.com/khoa-hoc/black-knight-vat-the-bay-khong-xac-dinh-duoc-tim-thay-trong-cac-hinh-anh-quay-quanh-mat-trang-cua-nasa-143312,Nga Bùi,30/11,Hãy cùng chúng tôi tìm hiểu về Black Knight: Vật thể bay không xác định được tìm thấy trong các hình ảnh “quay quanh Mặt Trăng” của NASA trong bài viết dưới đây nhé!,Bí ẩn - Chuyện lạ
Quái vật hồ Loch Ness và những bằng chứng gây tranh cãi nhất lịch sử,https://quantrimang.com/khoa-hoc/quai-vat-ho-loch-ness-va-nhung-bang-chung-gay-tranh-cai-nhat-lich-su-143307,Minh Nguyen,30/11,"Nessie - Quái vật hồ Loch Ness là một trong những sinh vật bí ẩn nhất hành tinh. Trong gần hai thế kỷ từ khi được phát hiện lần đầu tiên đến nay, đã có hơn 3000 người nhìn thấy sinh vật bí ẩn này nhưng cho tới nay các nhà khoa học vẫn chưa thể chứng minh Nessie có thực sự tồn tại hay không?",Bí ẩn - Chuyện lạ
Cách massage cho bà bầu đơn giản nhưng hiệu quả,https://quantrimang.com/khoa-hoc/cach-massage-cho-ba-bau-don-gian-nhung-hieu-qua-198489,Kandy Kandy,5 ngày,"Massage cho bà bầu không hề khó như nhiều người vẫn nghĩ. Thực tế có những cách massage cho mẹ bầu đơn giản, dễ thực hiện nhưng vô cùng hiệu quả.",Chăm sóc Sức khỏe
Cách tập thể dục tốt nhất theo độ tuổi,https://quantrimang.com/khoa-hoc/cach-tap-the-duc-tot-nhat-theo-do-tuoi-198474,Trần Nhung,6 ngày,"Thể lực và khả năng tập luyện ở mỗi độ tuổi là khác nhau. Tiến sĩ Mickey Mehta, chuyên gia sức khỏe hàng đầu Ấn Độ, khuyên mọi người hãy tập chậm rãi, phù hợp với độ tuổi và dưới mức tối đa giúp giải phóng năng lượng, chứ không nên cơ thể đến mức kiệt sức.",Chăm sóc Sức khỏe
Ăn cơm nguội tốt cho ruột hơn cơm nóng,https://quantrimang.com/khoa-hoc/an-com-nguoi-tot-cho-ruot-hon-com-nong-198464,Trần Khánh Toàn,6 ngày,"Có một điều ít ai biết là ăn cơm nguội tốt hơn ăn cơm nóng. Với cơm trắng, khi còn nóng sẽ có hàm lượng tinh bột ở mức bình thường.",Chăm sóc Sức khỏe
Tại sao không nên tắm ngay trước khi đi ngủ?,https://quantrimang.com/cuoc-song/tai-sao-khong-nen-tam-ngay-truoc-khi-di-ngu-198383,Kandy Kandy,26/07,"Cảm giác thật tuyệt nếu đi ngủ sau khi tắm rửa sạch sẽ bằng nước ấm, thế nhưng, theo y học, hành động này không phải cách hay để có giấc ngủ ngon.",Chăm sóc Sức khỏe
Nhóm máu có tốc độ lão hóa não bộ nhanh nhất,https://quantrimang.com/khoa-hoc/nhom-mau-co-toc-do-lao-hoa-nao-bo-nhanh-nhat-198340,Pham Xuyen,24/07,Những người có nhóm máu AB có xác suất mắc các vấn đề về tư duy và trí nhớ cao hơn 82% so với những người ở các nhóm máu khác.,Chăm sóc Sức khỏe
